"Country","year","Region","Debt_as_pct_of_GDP"
"Colombia","X2004","South America",41.2140953098638
"Colombia","X2005","South America",38.2835084344427
"Colombia","X2006","South America",35.7542406926444
"Colombia","X2007","South America",32.4688198940172
"Colombia","X2008","South America",32.1441141660426
"Colombia","X2009","South America",35.1712798918141
"Colombia","X2010","South America",36.4391721785691
"Colombia","X2011","South America",35.7331702561102
"Colombia","X2012","South America",34.0825030491228
"Colombia","X2013","South America",37.7825220133507
"Colombia","X2014","South America",44.2024838113685
"Colombia","X2015","South America",50.5692633530993
"Colombia","X2016","South America",50.5
"Croatia","X1996","Europe",33.0756
"Croatia","X1997","Europe",34.1217
"Croatia","X1998","Europe",35.199
"Croatia","X1999","Europe",41.2622
"Croatia","X2000","Europe",48.4131
"Croatia","X2001","Europe",48.2109
"Croatia","X2002","Europe",48.6558
"Croatia","X2003","Europe",47.424
"Croatia","X2004","Europe",42.5291
"Croatia","X2005","Europe",40.6882017949518
"Croatia","X2006","Europe",38.2773904094934
"Croatia","X2007","Europe",37.060422649527
"Croatia","X2008","Europe",38.8675381451601
"Croatia","X2009","Europe",48.0234513656698
"Croatia","X2010","Europe",56.9823847969992
"Croatia","X2011","Europe",63.7120512828222
"Croatia","X2012","Europe",70.677397293437
"Croatia","X2013","Europe",82.1847351392552
"Croatia","X2014","Europe",86.5278042081963
"Croatia","X2015","Europe",86.6704346585035
"Croatia","X2016","Europe",88.3
"Denmark","X1996","Europe",69.2342130065976
"Denmark","X1998","Europe",60.279497161436
"Denmark","X1999","Europe",56.7640821218489
"Denmark","X2000","Europe",52.3543025869859
"Denmark","X2001","Europe",48.5083038892445
"Denmark","X2002","Europe",49.0809574323251
"Denmark","X2003","Europe",46.1500983816959
"Denmark","X2004","Europe",44.1787988748504
"Denmark","X2005","Europe",37.3991908162243
"Denmark","X2006","Europe",31.5408916785621
"Denmark","X2007","Europe",27.3393803355902
"Denmark","X2008","Europe",33.3859050060471
"Denmark","X2009","Europe",40.3676318314797
"Denmark","X2010","Europe",42.8785954783815
"Denmark","X2011","Europe",46.4088656946314
"Denmark","X2012","Europe",45.189325973401
"Denmark","X2013","Europe",44.6508808160045
"Denmark","X2014","Europe",44.7651169782105
"Denmark","X2015","Europe",45.5274569130736
"Denmark","X2016","Europe",39.6
"Ecuador","X1996","South America",60.3758
"Ecuador","X1997","South America",56.6659
"Ecuador","X1998","South America",61.427
"Ecuador","X1999","South America",93.8145
"Ecuador","X2000","South America",82.6136
"Ecuador","X2001","South America",62.3015508871797
"Ecuador","X2002","South America",52.520849748038
"Ecuador","X2003","South America",44.8709406349283
"Ecuador","X2004","South America",39.7562737261367
"Ecuador","X2005","South America",35.0218031768552
"Ecuador","X2006","South America",28.8286965072872
"Ecuador","X2007","South America",27.1969754565662
"Ecuador","X2008","South America",22.2368394923727
"Ecuador","X2009","South America",17.7186640616205
"Ecuador","X2010","South America",19.6761095098384
"Ecuador","X2011","South America",19.4304204898304
"Ecuador","X2012","South America",21.6095894679875
"Ecuador","X2013","South America",25.9046646430216
"Ecuador","X2014","South America",31.1836162360629
"Ecuador","X2015","South America",33.8328367728135
"Ecuador","X2016","South America",33
"Equatorial Guinea","X1996","Africa",82.6710085888439
"Equatorial Guinea","X1997","Africa",41.9417833580578
"Equatorial Guinea","X1998","Africa",53.7022392282452
"Equatorial Guinea","X1999","Africa",54.8307507125137
"Equatorial Guinea","X2000","Africa",30.8795605062393
"Equatorial Guinea","X2001","Africa",22.2513013576204
"Equatorial Guinea","X2002","Africa",16.9295245395682
"Equatorial Guinea","X2003","Africa",7.65681603332329
"Equatorial Guinea","X2004","Africa",4.61426640241132
"Equatorial Guinea","X2005","Africa",2.5474300500214
"Equatorial Guinea","X2006","Africa",1.19743281526268
"Equatorial Guinea","X2007","Africa",0.734705041508211
"Equatorial Guinea","X2008","Africa",0.47440794553359
"Equatorial Guinea","X2009","Africa",4.31980978384514
"Equatorial Guinea","X2010","Africa",7.86855026492807
"Equatorial Guinea","X2011","Africa",5.86253645327955
"Equatorial Guinea","X2012","Africa",7.29304511707305
"Equatorial Guinea","X2013","Africa",6.14311933657062
"Equatorial Guinea","X2014","Africa",8.66857501400331
"Equatorial Guinea","X2015","Africa",13.9795850994069
"Equatorial Guinea","X2016","Africa",24.3
"Eritrea","X1996","Africa",47.0581
"Eritrea","X1997","Africa",52.9883
"Eritrea","X1998","Africa",91.4464
"Eritrea","X1999","Africa",149.451
"Eritrea","X2000","Africa",185.707
"Eritrea","X2001","Africa",167.135
"Eritrea","X2002","Africa",190.459
"Eritrea","X2004","Africa",86.7956888160664
"Eritrea","X2005","Africa",158.913372783326
"Eritrea","X2006","Africa",154.322208118677
"Eritrea","X2007","Africa",156.655744687763
"Eritrea","X2008","Africa",174.915002829699
"Eritrea","X2009","Africa",144.602289049307
"Eritrea","X2010","Africa",143.764135175042
"Eritrea","X2011","Africa",133.013774104293
"Eritrea","X2012","Africa",127.613711448423
"Eritrea","X2013","Africa",128.383175434806
"Eritrea","X2014","Africa",126.494672363153
"Eritrea","X2015","Africa",127.126381922791
"Eritrea","X2016","Africa",119.8
"Estonia","X1996","Europe",7.35926269867316
"Estonia","X1997","Europe",6.13847680763908
"Estonia","X1998","Europe",5.45302318463924
"Estonia","X1999","Europe",5.96383435905631
"Estonia","X2000","Europe",5.11443350502338
"Estonia","X2001","Europe",4.77899135904179
"Estonia","X2002","Europe",5.69731216017122
"Estonia","X2003","Europe",5.62299894524849
"Estonia","X2004","Europe",5.06198354556614
"Estonia","X2005","Europe",4.54880619542609
"Estonia","X2006","Europe",4.40403021346656
"Estonia","X2007","Europe",3.66358146368857
"Estonia","X2008","Europe",4.48681878469679
"Estonia","X2009","Europe",7.03809946770096
"Estonia","X2010","Europe",6.55027318362389
"Estonia","X2011","Europe",5.91325686553061
"Estonia","X2012","Europe",9.51570361283453
"Estonia","X2013","Europe",9.93486815923506
"Estonia","X2014","Europe",10.3713551786046
"Estonia","X2015","Europe",9.74101304551402
"Estonia","X2016","Europe",9.7
"Fiji","X1996","Oceania",52.8605997322624
"Fiji","X1997","Oceania",58.6390704905561
"Fiji","X1998","Oceania",39.680286781906
"Fiji","X1999","Oceania",35.4260580869474
"Fiji","X2000","Oceania",40.0002399020753
"Fiji","X2001","Oceania",44.4516296152632
"Fiji","X2002","Oceania",46.9975795216714
"Fiji","X2003","Oceania",48.588434572335
"Fiji","X2004","Oceania",48.2422457619051
"Fiji","X2005","Oceania",47.6519027325302
"Fiji","X2006","Oceania",57.9120607503302
"Fiji","X2007","Oceania",49.8764123488803
"Fiji","X2008","Oceania",51.416766104472
"Fiji","X2009","Oceania",55.7970110970592
"Fiji","X2010","Oceania",56.158289622203
"Fiji","X2011","Oceania",52.6320455049125
"Fiji","X2012","Oceania",51.6805719422439
"Fiji","X2013","Oceania",49.5062575226164
"Fiji","X2014","Oceania",47.7405324509815
"Fiji","X2015","Oceania",48.0878643674376
"Fiji","X2016","Oceania",50.2
"Finland","X1996","Europe",55.3184401332549
"Finland","X1997","Europe",52.247647600643
"Finland","X1998","Europe",46.8624877473376
"Finland","X1999","Europe",44.0085721264073
"Finland","X2000","Europe",42.4861112130397
"Finland","X2001","Europe",40.9465718617806
"Finland","X2002","Europe",40.1695338157247
"Finland","X2003","Europe",42.7382908114456
"Finland","X2004","Europe",42.647829022508
"Finland","X2005","Europe",39.9374646413646
"Finland","X2006","Europe",38.0594853256399
"Finland","X2007","Europe",33.9926740807483
"Finland","X2008","Europe",32.6537424342569
"Finland","X2009","Europe",41.6960216356625
"Finland","X2010","Europe",47.1191293462445
"Finland","X2011","Europe",48.50428000692
"Finland","X2012","Europe",52.8881847746533
"Finland","X2013","Europe",55.4282254211328
"Finland","X2014","Europe",59.3008954864645
"Finland","X2015","Europe",62.5135625830499
"Finland","X2016","Europe",64.9
"France","X1996","Europe",59.6846578497955
"France","X1997","Europe",61.0968817585685
"France","X1998","Europe",61.0402303249395
"France","X1999","Europe",60.2204722620102
"France","X2000","Europe",58.6546987382372
"France","X2001","Europe",58.1563598767083
"France","X2002","Europe",60.078067616366
"France","X2003","Europe",64.2100647474897
"France","X2004","Europe",65.7368654866843
"France","X2005","Europe",67.2073806785412
"France","X2006","Europe",64.448349860004
"France","X2007","Europe",64.4045495896015
"France","X2008","Europe",68.0612270461207
"France","X2009","Europe",78.998791655772
"France","X2010","Europe",81.6970489086461
"France","X2011","Europe",85.2092280617924
"France","X2012","Europe",89.5813896879098
"France","X2013","Europe",92.3954358243163
"France","X2014","Europe",95.3427253916421
"France","X2015","Europe",96.1411494573291
"France","X2016","Europe",96.5
"Germany","X1996","Europe",57.5975435026372
"Germany","X1997","Europe",58.7725523489012
"Germany","X1998","Europe",59.3846092863549
"Germany","X1999","Europe",59.9624191236295
"Germany","X2000","Europe",58.7576542183248
"Germany","X2001","Europe",57.5823565841686
"Germany","X2002","Europe",59.2195682775914
"Germany","X2003","Europe",62.9207506035819
"Germany","X2004","Europe",64.6893799931296
"Germany","X2005","Europe",66.9093730170458
"Germany","X2006","Europe",66.3334795779797
"Germany","X2007","Europe",63.5422941792037
"Germany","X2008","Europe",64.9260658770992
"Germany","X2009","Europe",72.4302518412538
"Germany","X2010","Europe",81.0037751060053
"Germany","X2011","Europe",78.3106928290272
"Germany","X2012","Europe",79.5159992168976
"Germany","X2013","Europe",77.0575039628623
"Germany","X2014","Europe",74.4797242068039
"Germany","X2015","Europe",70.9881562374292
"Germany","X2016","Europe",69
"Greece","X1996","Europe",101.335442607995
"Greece","X1997","Europe",99.4516702698933
"Greece","X1998","Europe",97.4246186024604
"Greece","X1999","Europe",98.9064870804027
"Greece","X2000","Europe",104.934618080384
"Greece","X2001","Europe",107.081093867038
"Greece","X2002","Europe",104.862933666134
"Greece","X2003","Europe",101.456080042481
"Greece","X2004","Europe",102.870181089843
"Greece","X2005","Europe",107.392015739653
"Greece","X2006","Europe",103.573821960691
"Greece","X2007","Europe",103.102774017491
"Greece","X2008","Europe",109.415678333815
"Greece","X2009","Europe",126.744802849276
"Greece","X2010","Europe",146.249850684198
"Greece","X2011","Europe",172.096179762256
"Greece","X2012","Europe",159.564653459133
"Greece","X2013","Europe",177.677131088924
"Greece","X2014","Europe",180.062964986286
"Greece","X2015","Europe",176.938241025321
"Greece","X2016","Europe",181.6
"Honduras","X1996","Central America/Caribbean",88.0041
"Honduras","X1997","Central America/Caribbean",75.8124
"Honduras","X1998","Central America/Caribbean",65.9244
"Honduras","X1999","Central America/Caribbean",66.4204
"Honduras","X2000","Central America/Caribbean",63.7005
"Honduras","X2001","Central America/Caribbean",61.4072
"Honduras","X2002","Central America/Caribbean",63.5414
"Honduras","X2003","Central America/Caribbean",66.2897
"Honduras","X2004","Central America/Caribbean",63.498
"Honduras","X2005","Central America/Caribbean",57.2245436605628
"Honduras","X2006","Central America/Caribbean",40.3429404822788
"Honduras","X2007","Central America/Caribbean",24.7211375371665
"Honduras","X2008","Central America/Caribbean",22.9733250639088
"Honduras","X2009","Central America/Caribbean",27.5099780294019
"Honduras","X2010","Central America/Caribbean",30.6630927599855
"Honduras","X2011","Central America/Caribbean",32.133975012881
"Honduras","X2012","Central America/Caribbean",35.1810293138264
"Honduras","X2013","Central America/Caribbean",45.7107472679462
"Honduras","X2014","Central America/Caribbean",46.4627509100189
"Honduras","X2015","Central America/Caribbean",46.8051871037873
"Honduras","X2016","Central America/Caribbean",47.3
"India","X1996","Asia",65.9766465514182
"India","X1997","Asia",67.8180393047722
"India","X1998","Asia",68.0898993997878
"India","X1999","Asia",70.039242636401
"India","X2000","Asia",73.6489950770931
"India","X2001","Asia",78.7284696774848
"India","X2002","Asia",82.849967883263
"India","X2003","Asia",84.2430372808561
"India","X2004","Asia",83.288599671402
"India","X2005","Asia",80.8936774562291
"India","X2006","Asia",77.1083133497216
"India","X2007","Asia",74.026517958065
"India","X2008","Asia",74.5361363598257
"India","X2009","Asia",72.5266065943379
"India","X2010","Asia",67.4576345771905
"India","X2011","Asia",69.6428447225516
"India","X2012","Asia",69.0725241601634
"India","X2013","Asia",67.9597324080349
"India","X2014","Asia",68.3262697216014
"India","X2015","Asia",69.0699759503657
"India","X2016","Asia",52.3
"Indonesia","X1996","Southeast Asia",27.5393
"Indonesia","X1997","Southeast Asia",26.4111
"Indonesia","X1998","Southeast Asia",72.5266
"Indonesia","X1999","Southeast Asia",95.8935
"Indonesia","X2000","Southeast Asia",87.437298742237
"Indonesia","X2001","Southeast Asia",73.7021149501112
"Indonesia","X2002","Southeast Asia",62.3393810350656
"Indonesia","X2003","Southeast Asia",55.6426916280537
"Indonesia","X2004","Southeast Asia",51.328172495401
"Indonesia","X2005","Southeast Asia",42.611727208196
"Indonesia","X2006","Southeast Asia",35.8477340869901
"Indonesia","X2007","Southeast Asia",32.3333333488476
"Indonesia","X2008","Southeast Asia",30.2520374602258
"Indonesia","X2009","Southeast Asia",26.4831257407831
"Indonesia","X2010","Southeast Asia",24.524582718246
"Indonesia","X2011","Southeast Asia",23.1060177539408
"Indonesia","X2012","Southeast Asia",22.9603974927413
"Indonesia","X2013","Southeast Asia",24.8467075781672
"Indonesia","X2014","Southeast Asia",24.6954866425714
"Indonesia","X2015","Southeast Asia",27.3042609243347
"Indonesia","X2016","Southeast Asia",29.4
"Iran","X1996","Middle East",28.4175
"Iran","X1997","Middle East",22.9759
"Iran","X1998","Middle East",25.3595
"Iran","X1999","Middle East",21.3317
"Iran","X2000","Middle East",12.1612574371366
"Iran","X2001","Middle East",12.0051853727676
"Iran","X2002","Middle East",21.7888940235158
"Iran","X2003","Middle East",19.6090864791162
"Iran","X2004","Middle East",16.6990484141315
"Iran","X2005","Middle East",13.5620910726587
"Iran","X2006","Middle East",12.4599298025151
"Iran","X2007","Middle East",12.0273335019803
"Iran","X2008","Middle East",9.28700222505843
"Iran","X2009","Middle East",10.4249698298046
"Iran","X2010","Middle East",12.1745471996337
"Iran","X2011","Middle East",8.87472453585106
"Iran","X2012","Middle East",17.3953861700604
"Iran","X2013","Middle East",15.4021324772006
"Iran","X2014","Middle East",15.6296150629138
"Iran","X2015","Middle East",15.9035187157536
"Iran","X2016","Middle East",11.9
"Ireland","X1996","Europe",73.5194666515456
"Ireland","X1997","Europe",64.3287251740942
"Ireland","X1998","Europe",53.5845260530739
"Ireland","X1999","Europe",48.4992258349923
"Ireland","X2000","Europe",37.7760621623173
"Ireland","X2001","Europe",35.4951893432036
"Ireland","X2002","Europe",32.1244451829435
"Ireland","X2003","Europe",30.938189189415
"Ireland","X2004","Europe",29.6273459968396
"Ireland","X2005","Europe",27.353564682007
"Ireland","X2006","Europe",24.807884267188
"Ireland","X2007","Europe",25.0083066569453
"Ireland","X2008","Europe",44.3419677782019
"Ireland","X2009","Europe",61.6762126997596
"Ireland","X2010","Europe",86.2993944615974
"Ireland","X2011","Europe",109.612873403825
"Ireland","X2012","Europe",119.477223846968
"Ireland","X2013","Europe",119.471280568673
"Ireland","X2014","Europe",105.246945537378
"Ireland","X2015","Europe",78.6763872329613
"Ireland","X2016","Europe",77.9
"Italy","X1996","Europe",117.711854738588
"Italy","X1997","Europe",113.426445355868
"Italy","X1998","Europe",110.80770514513
"Italy","X1999","Europe",109.658759862173
"Italy","X2000","Europe",105.109524508863
"Italy","X2001","Europe",104.729800060051
"Italy","X2002","Europe",101.922924310853
"Italy","X2003","Europe",100.484939347528
"Italy","X2004","Europe",100.089128208881
"Italy","X2005","Europe",101.94049107017
"Italy","X2006","Europe",102.557091691562
"Italy","X2007","Europe",99.7758630973091
"Italy","X2008","Europe",102.39029208064
"Italy","X2009","Europe",112.51944524623
"Italy","X2010","Europe",115.377924170232
"Italy","X2011","Europe",116.498951730759
"Italy","X2012","Europe",123.338680663945
"Italy","X2013","Europe",129.004386473358
"Italy","X2014","Europe",132.528477563198
"Italy","X2015","Europe",132.712549469192
"Italy","X2016","Europe",132.5
"Japan","X1996","Asia",102.294120266878
"Japan","X1997","Asia",109.104368267252
"Japan","X1998","Asia",121.632211156615
"Japan","X1999","Asia",135.609446644317
"Japan","X2000","Asia",143.77848821245
"Japan","X2001","Asia",153.634535360275
"Japan","X2002","Asia",163.991910198799
"Japan","X2003","Asia",169.571821213672
"Japan","X2004","Asia",180.656881705787
"Japan","X2005","Asia",186.436357791083
"Japan","X2006","Asia",185.997272477881
"Japan","X2007","Asia",183.01235615289
"Japan","X2008","Asia",191.812143150576
"Japan","X2009","Asia",210.246836069046
"Japan","X2010","Asia",215.821204619488
"Japan","X2011","Asia",231.629354760934
"Japan","X2012","Asia",238.014556574821
"Japan","X2013","Asia",244.477405513901
"Japan","X2014","Asia",249.113739092857
"Japan","X2015","Asia",247.975864153389
"Japan","X2016","Asia",234.7
"Kazakhstan","X1996","Asia",12.7035
"Kazakhstan","X1997","Asia",17.9699
"Kazakhstan","X1998","Asia",20.4608
"Kazakhstan","X1999","Asia",27.171
"Kazakhstan","X2000","Asia",25.3097
"Kazakhstan","X2001","Asia",18.7304
"Kazakhstan","X2002","Asia",17.5918684050564
"Kazakhstan","X2003","Asia",14.9624930098823
"Kazakhstan","X2004","Asia",11.3915680770711
"Kazakhstan","X2005","Asia",8.0994854894873
"Kazakhstan","X2006","Asia",6.66733063322058
"Kazakhstan","X2007","Asia",5.87362469157093
"Kazakhstan","X2008","Asia",6.76587807484648
"Kazakhstan","X2009","Asia",10.2270294086609
"Kazakhstan","X2010","Asia",10.6827352474496
"Kazakhstan","X2011","Asia",9.76786994839917
"Kazakhstan","X2012","Asia",11.6813783885342
"Kazakhstan","X2013","Asia",12.2333554478437
"Kazakhstan","X2014","Asia",14.112548073917
"Kazakhstan","X2015","Asia",21.8852373732816
"Kazakhstan","X2016","Asia",24.1
"Kenya","X1996","Africa",60.7854
"Kenya","X1997","Africa",50.5542
"Kenya","X1998","Africa",54.4291502724166
"Kenya","X1999","Africa",53.6698678056913
"Kenya","X2000","Africa",52.230343499715
"Kenya","X2001","Africa",56.2184000240009
"Kenya","X2002","Africa",61.8442204683205
"Kenya","X2003","Africa",60.1327398006624
"Kenya","X2004","Africa",53.795142273036
"Kenya","X2005","Africa",48.3430181104348
"Kenya","X2006","Africa",43.9750544882108
"Kenya","X2007","Africa",38.3723771219044
"Kenya","X2008","Africa",41.4690127040939
"Kenya","X2009","Africa",41.0947786659835
"Kenya","X2010","Africa",44.4031655799317
"Kenya","X2011","Africa",43.0494327722116
"Kenya","X2012","Africa",41.6944919489526
"Kenya","X2013","Africa",41.4932918887668
"Kenya","X2014","Africa",46.6663344810707
"Kenya","X2015","Africa",51.3272241627305
"Kenya","X2016","Africa",50.4
"Kuwait","X1996","Middle East",59.1075055765414
"Kuwait","X1997","Middle East",59.1983596379413
"Kuwait","X1998","Middle East",59.4975294315794
"Kuwait","X1999","Middle East",50.8229749261546
"Kuwait","X2000","Middle East",35.4293181362542
"Kuwait","X2001","Middle East",36.4299367397997
"Kuwait","X2002","Middle East",32.3329224950029
"Kuwait","X2003","Middle East",24.6148610474889
"Kuwait","X2004","Middle East",18.6163348286154
"Kuwait","X2005","Middle East",14.1365237336624
"Kuwait","X2006","Middle East",10.5701988480455
"Kuwait","X2007","Middle East",11.8323932923917
"Kuwait","X2008","Middle East",9.57045011325108
"Kuwait","X2009","Middle East",11.0457758138719
"Kuwait","X2010","Middle East",11.3398907980693
